"id";"AuditType";"Topics";"Idx";"Completed";"Active";"createdAt";"updatedAt"
20;"Behavioral Health Prescribing - Amb";"DX - Reported But Not Documented";"6";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
21;"Behavioral Health Prescribing - Amb";"DX - Specificity ";"7";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
22;"Behavioral Health Prescribing - Amb";"DX - Supporting Documentation";"8";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
23;"Behavioral Health Prescribing - Amb";"EM - Chief Complaint/Reason for Visit";"9";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
24;"Behavioral Health Prescribing - Amb";"EM - Encounter Type Issue";"10";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
25;"Behavioral Health Prescribing - Amb";"EM - HPI Clarification";"11";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
26;"Behavioral Health Prescribing - Amb";"EM - MDM Clarification";"12";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
27;"Behavioral Health Prescribing - Amb";"EM - Patient Type";"13";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
28;"Behavioral Health Prescribing - Amb";"EM - PE Clarification";"14";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
29;"Behavioral Health Prescribing - Amb";"EM - ROS Clarification";"15";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
30;"Behavioral Health Prescribing - Amb";"EM - Time Based LOS";"16";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
31;"Behavioral Health Prescribing - Amb";"DX - Appropriate DX Association";"1";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
32;"Behavioral Health Prescribing - Amb";"DX - Conflicting Documentation";"2";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
33;"Behavioral Health Prescribing - Amb";"DX - Documented But Not Reported";"3";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
34;"Behavioral Health Prescribing - Amb";"DX - Not Definitive";"4";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
35;"Behavioral Health Prescribing - Amb";"DX - Primary DX/ DX Sequence";"5";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
36;"Behavioral Health Prescribing - Amb";"DX - Reported But Not Documented";"6";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
37;"Behavioral Health Prescribing - Amb";"DX - Specificity ";"7";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
38;"Behavioral Health Prescribing - Amb";"DX - Supporting Documentation";"8";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
39;"Behavioral Health Prescribing - Amb";"EM - Chief Complaint/Reason for Visit";"9";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
40;"Behavioral Health Prescribing - Amb";"EM - Encounter Type Issue";"10";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
41;"Behavioral Health Prescribing - Amb";"EM - HPI Clarification";"11";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
42;"Behavioral Health Prescribing - Amb";"EM - MDM Clarification";"12";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
43;"Behavioral Health Prescribing - Amb";"EM - Patient Type";"13";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
44;"Behavioral Health Prescribing - Amb";"EM - PE Clarification";"14";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
45;"Behavioral Health Prescribing - Amb";"EM - ROS Clarification";"15";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
46;"Behavioral Health Prescribing - Amb";"EM - Time Based LOS";"16";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
47;"Behavioral Health Prescribing - Amb";"Only identified topic(s) in APPEAL or Non Provider issue";"17";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
48;"Behavioral Health Prescribing - Amb";"PROC - Procedure Documentation Issue";"18";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
49;"Behavioral Health Prescribing - Amb";"PROC - Procedure Documented But Not Reported";"19";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
50;"Behavioral Health Prescribing - Amb";"PROC - Procedure Only Visit";"20";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
51;"Behavioral Health Prescribing - Amb";"PROC - Procedure Reported But Not Documented ";"21";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
52;"Behavioral Health Prescribing - Amb";"PROC - Procedure Reporting Issue";"22";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
53;"Behavioral Health Prescribing - Amb";"TAV Coding";"23";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
54;"Behavioral Health Prescribing - Amb";"Video Visits";"24";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
55;"Anesthesia";"Anesthesia Type";"25";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
56;"Anesthesia";"Anesthesiologist Role (MD Alone/Supervision)";"26";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
57;"Anesthesia";"ASA (Pre-Anesthesia vs. Intra-op)";"27";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
58;"Anesthesia";"Field Avoidance";"28";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
59;"Anesthesia";"General Anesthesia used when not usual";"29";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
60;"Anesthesia";"MAC ";"30";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
61;"Anesthesia";"Patient Position";"31";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
62;"Anesthesia";"Plan of Care ";"32";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
63;"Anesthesia";"Post-Anesthesia Evaluation";"33";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
64;"Anesthesia";"Presence During Induction";"34";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
65;"Anesthesia";"PROC - Procedure Documented But Not Reported";"35";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
66;"Anesthesia";"Procedure Outside Global";"36";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
67;"Anesthesia";"Qualifying Circumstances (Controlled Hypotension )";"37";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
68;"Anesthesia";"Qualifying Circumstances (Emergency Condition)";"38";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
69;"Anesthesia";"Qualifying Circumstances (Total Body Hypothermia)";"39";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
70;"Anesthesia";"Supplemental Procedure";"40";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
71;"Anesthesia";"Time (start/end)";"41";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
72;"Anesthesia";"Transfer of Care";"42";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
73;"Continuing Care";"DX - Appropriate DX Association";"43";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
74;"Continuing Care";"DX - Conflicting Documentation";"44";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
75;"Continuing Care";"DX - Documented But Not Reported";"45";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
76;"Continuing Care";"DX - Not Definitive";"46";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
77;"Continuing Care";"DX - Primary DX/ DX Sequence";"47";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
78;"Continuing Care";"DX - Reported But Not Documented";"48";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
79;"Continuing Care";"DX - Specificity ";"49";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
80;"Continuing Care";"DX - Supporting Documentation";"50";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
81;"Continuing Care";"E&M Prior to Admission Visit";"51";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
82;"Continuing Care";"EM - Annual Exam";"52";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
83;"Continuing Care";"EM - Chief Complaint/Reason for Visit";"53";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
84;"Continuing Care";"EM - Discharge Service Issue";"54";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
85;"Continuing Care";"EM - HPI Clarification";"55";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
86;"Continuing Care";"EM - Independent Interpretation";"56";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
87;"Continuing Care";"EM - Initial NF EM Issue";"57";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
88;"Continuing Care";"EM - MDM Clarification";"58";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
89;"Continuing Care";"EM - Patient Type";"59";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
90;"Continuing Care";"EM - PE Clarification";"60";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
91;"Continuing Care";"EM - ROS Clarification";"61";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
92;"Continuing Care";"EM - Time Based LOS";"62";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
93;"Continuing Care";"KPHC Wizard Functionality";"63";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
94;"Continuing Care";"MOD - Modifier 25";"64";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
95;"Continuing Care";"Only identified topic(s) in APPEAL or Non Provider issue";"65";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
96;"Continuing Care";"PROC - Procedure Documentation Issue";"66";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
97;"Continuing Care";"PROC - Procedure Documented But Not Reported";"67";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
98;"Continuing Care";"PROC - Procedure Only Visit";"68";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
99;"Continuing Care";"PROC - Procedure Reported But Not Documented ";"69";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
100;"Continuing Care";"PROC - Procedure Reporting Issue";"70";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
101;"Dermatology - Amb";"DX - Appropriate DX Association";"71";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
102;"Dermatology - Amb";"DX - Conflicting Documentation";"72";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
103;"Dermatology - Amb";"DX - Documented But Not Reported";"73";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
104;"Dermatology - Amb";"DX - Not Definitive";"74";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
105;"Dermatology - Amb";"DX - Primary DX/ DX Sequence";"75";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
106;"Dermatology - Amb";"DX - Reported But Not Documented";"76";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
107;"Dermatology - Amb";"DX - Specificity ";"77";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
108;"Dermatology - Amb";"DX - Supporting Documentation";"78";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
109;"Dermatology - Amb";"EM - HPI Clarification";"79";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
110;"Dermatology - Amb";"EM - MDM Clarification";"80";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
111;"Dermatology - Amb";"EM - Patient Type";"81";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
112;"Dermatology - Amb";"EM - PE Clarification";"82";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
113;"Dermatology - Amb";"EM - ROS Clarification";"83";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
114;"Dermatology - Amb";"MOD - Modifier 59/XS ";"84";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
115;"Dermatology - Amb";"Only identified topic(s) in APPEAL or Non Provider issue";"85";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
116;"Dermatology - Amb";"PROC - Procedure Documentation Issue";"86";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
117;"Dermatology - Amb";"PROC - Procedure Documented But Not Reported";"87";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
118;"Dermatology - Amb";"PROC - Procedure Only Visit";"88";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
119;"Dermatology - Amb";"PROC - Procedure Reported But Not Documented ";"89";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
120;"Dermatology - Amb";"PROC - Procedure Reporting Issue";"90";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
121;"Emergency Department";"DX - Appropriate DX Association";"91";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
122;"Emergency Department";"DX - Conflicting Documentation";"92";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
123;"Emergency Department";"DX - Documented But Not Reported";"93";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
124;"Emergency Department";"DX - Not Definitive";"94";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
125;"Emergency Department";"DX - Primary DX/ DX Sequence";"95";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
126;"Emergency Department";"DX - Reported But Not Documented";"96";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
127;"Emergency Department";"DX - Specificity ";"97";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
128;"Emergency Department";"DX - Supporting Documentation";"98";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
129;"Emergency Department";"EM - Critical Care Coding";"99";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
130;"Emergency Department";"EM - ED Level 5 Exception";"100";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
131;"Emergency Department";"EM - HPI Clarification";"101";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
132;"Emergency Department";"EM - Independent Interpretation";"102";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
133;"Emergency Department";"EM - MDM Clarification";"103";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
134;"Emergency Department";"EM - PE Clarification";"104";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
135;"Emergency Department";"EM - ROS Clarification";"105";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
136;"Emergency Department";"Only identified topic(s) in APPEAL or Non Provider issue";"106";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
137;"Emergency Department";"PROC - Procedure Documentation Issue";"107";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
138;"Emergency Department";"PROC - Procedure Documented But Not Reported";"108";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
139;"Emergency Department";"PROC - Procedure Reported But Not Documented ";"109";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
140;"Emergency Department";"PROC - Procedure Reporting Issue";"110";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
141;"Haiku - IP";"DX - Appropriate DX Association";"111";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
142;"Haiku - IP";"DX - Conflicting Documentation";"112";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
143;"Haiku - IP";"DX - Documented But Not Reported";"113";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
144;"Haiku - IP";"DX - Not Definitive";"114";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
145;"Haiku - IP";"DX - Primary DX/ DX Sequence";"115";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
146;"Haiku - IP";"DX - Reported But Not Documented";"116";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
147;"Haiku - IP";"DX - Specificity ";"117";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
148;"Haiku - IP";"DX - Supporting Documentation";"118";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
149;"Haiku - IP";"EM - Chief Complaint/Reason for Visit";"119";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
150;"Haiku - IP";"EM - Critical Care Coding";"120";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
151;"Haiku - IP";"EM - Discharge Service Issue";"121";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
152;"Haiku - IP";"EM - ED Level 5 Exception";"122";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
153;"Haiku - IP";"EM - Encounter Type Issue";"123";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
154;"Haiku - IP";"EM - HPI Clarification";"124";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
155;"Haiku - IP";"EM - Independent Interpretation";"125";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
156;"Haiku - IP";"EM - Initial Inpatient/Observation EM Issue";"126";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
157;"Haiku - IP";"EM - MDM Clarification";"127";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
158;"Haiku - IP";"EM - Patient Type";"128";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
159;"Haiku - IP";"EM - PE Clarification";"129";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
160;"Haiku - IP";"EM - ROS Clarification";"130";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
161;"Haiku - IP";"EM - Time Based LOS";"131";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
162;"Haiku - IP";"Only identified topic(s) in APPEAL or Non Provider issue";"132";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
163;"Haiku - IP";"PROC - Global Surgical Period/Package";"133";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
164;"Haiku - IP";"PROC - Procedure Documentation Issue";"134";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
165;"Haiku - IP";"PROC - Procedure Documented But Not Reported";"135";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
166;"Haiku - IP";"PROC - Procedure Only Visit";"136";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
167;"Haiku - IP";"PROC - Procedure Reported But Not Documented ";"137";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
168;"Haiku - IP";"PROC - Procedure Reporting Issue";"138";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
169;"Haiku - IP";"Psych/ Diagnostic Interview";"139";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
170;"Haiku - IP";"TAV Coding";"140";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
171;"IM/FM - IP";"DX - Conflicting Documentation";"141";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
172;"IM/FM - IP";"DX - Documented But Not Reported";"142";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
173;"IM/FM - IP";"DX - Reported But Not Documented";"143";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
174;"IM/FM - IP";"DX - Specificity ";"144";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
175;"IM/FM - IP";"DX - Supporting Documentation";"145";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
176;"IM/FM - IP";"EM - Age Discrepancy";"146";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
177;"IM/FM - IP";"EM - Chief Complaint/Reason for Visit";"147";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
178;"IM/FM - IP";"EM - Consultation Required Element";"148";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
179;"IM/FM - IP";"EM - Critical Care Coding";"149";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
180;"IM/FM - IP";"EM - Delivery Room Attendance";"150";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
181;"IM/FM - IP";"EM - Discharge Service Issue";"151";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
182;"IM/FM - IP";"EM - Encounter Type Issue";"152";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
183;"IM/FM - IP";"EM - HPI Clarification";"153";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
184;"IM/FM - IP";"EM - Independent Interpretation";"154";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
185;"IM/FM - IP";"EM - Initial Evaluation/ Daily Care";"155";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
186;"IM/FM - IP";"EM - Initial Inpatient/Observation EM Issue";"156";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
187;"IM/FM - IP";"EM - Intensive Care";"157";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
188;"IM/FM - IP";"EM - MDM Clarification";"158";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
189;"IM/FM - IP";"EM - PE Clarification";"159";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
190;"IM/FM - IP";"EM - ROS Clarification";"160";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
191;"IM/FM - IP";"EM - Time Based LOS";"161";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
192;"IM/FM - IP";"Only identified topic(s) in APPEAL or Non Provider issue";"162";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
193;"IM/FM - IP";"PROC - Global Surgical Period/Package";"163";"FALSE";"TRUE";"2018-07-31 00:00:00";"2018-07-31 00:00:00"
